Step 111 (124 ms) -- loss_pure: 456.4258, loss_model: 8.8139, loss_noise: 447.6119, loss: 459.6985, learning_rate: 0.0300
Step 112 (124 ms) -- loss_pure: 511.2988, loss_model: 9.3985, loss_noise: 501.9003, loss: 514.5863, learning_rate: 0.0300
Step 113 (123 ms) -- loss_pure: 521.8735, loss_model: 9.3411, loss_noise: 512.5323, loss: 525.1747, learning_rate: 0.0300
Step 114 (120 ms) -- loss_pure: 539.1024, loss_model: 9.3043, loss_noise: 529.7981, loss: 542.4163, learning_rate: 0.0300
Step 115 (135 ms) -- loss_pure: 566.8978, loss_model: 9.1546, loss_noise: 557.7432, loss: 570.2234, learning_rate: 0.0300
Step 116 (129 ms) -- loss_pure: 601.6043, loss_model: 9.1954, loss_noise: 592.4089, loss: 604.9408, learning_rate: 0.0300
Step 117 (116 ms) -- loss_pure: 654.7692, loss_model: 8.9422, loss_noise: 645.8270, loss: 658.1157, learning_rate: 0.0300
Step 118 (115 ms) -- loss_pure: 684.7859, loss_model: 9.2567, loss_noise: 675.5292, loss: 688.1415, learning_rate: 0.0300
Step 119 (128 ms) -- loss_pure: 710.3972, loss_model: 8.7959, loss_noise: 701.6012, loss: 713.7613, learning_rate: 0.0300
Step 120 (126 ms) -- loss_pure: 667.2985, loss_model: 9.1105, loss_noise: 658.1880, loss: 670.6704, learning_rate: 0.0300
Step 121 (115 ms) -- loss_pure: 684.1071, loss_model: 9.3414, loss_noise: 674.7657, loss: 687.4866, learning_rate: 0.0300
Step 122 (121 ms) -- loss_pure: 627.9288, loss_model: 9.1746, loss_noise: 618.7542, loss: 631.3159, learning_rate: 0.0300
Step 123 (112 ms) -- loss_pure: 347.8355, loss_model: 9.5595, loss_noise: 338.2760, loss: 351.2459, learning_rate: 0.0300
Step 124 (129 ms) -- loss_pure: 244.4260, loss_model: 9.0277, loss_noise: 235.3983, loss: 247.8903, learning_rate: 0.0300
Step 125 (128 ms) -- loss_pure: 155.1637, loss_model: 9.0228, loss_noise: 146.1409, loss: 158.7113, learning_rate: 0.0300
Step 126 (121 ms) -- loss_pure: 196.3688, loss_model: 9.2921, loss_noise: 187.0767, loss: 200.0232, learning_rate: 0.0300
Step 127 (125 ms) -- loss_pure: 201.2043, loss_model: 9.1448, loss_noise: 192.0595, loss: 204.9805, learning_rate: 0.0300
Step 128 (126 ms) -- loss_pure: 222.2061, loss_model: 9.1334, loss_noise: 213.0726, loss: 226.1130, learning_rate: 0.0300
Step 129 (124 ms) -- loss_pure: 198.7013, loss_model: 9.0974, loss_noise: 189.6040, loss: 202.7430, learning_rate: 0.0300
Step 130 (119 ms) -- loss_pure: 209.7307, loss_model: 9.0340, loss_noise: 200.6967, loss: 213.9077, learning_rate: 0.0300
Step 131 (121 ms) -- loss_pure: 187.3101, loss_model: 9.1600, loss_noise: 178.1501, loss: 191.6420, learning_rate: 0.0300
Step 132 (127 ms) -- loss_pure: 185.0307, loss_model: 9.3263, loss_noise: 175.7044, loss: 189.5487, learning_rate: 0.0300
Step 133 (109 ms) -- loss_pure: 171.3918, loss_model: 9.0031, loss_noise: 162.3887, loss: 176.1186, learning_rate: 0.0300
Step 134 (129 ms) -- loss_pure: 80.5589, loss_model: 9.1487, loss_noise: 71.4102, loss: 85.5104, learning_rate: 0.0300
Step 135 (120 ms) -- loss_pure: 33.9176, loss_model: 9.0746, loss_noise: 24.8430, loss: 39.1018, learning_rate: 0.0300
Step 136 (125 ms) -- loss_pure: 61.2328, loss_model: 9.0981, loss_noise: 52.1347, loss: 66.6519, learning_rate: 0.0300
Step 137 (121 ms) -- loss_pure: 23.8180, loss_model: 9.1297, loss_noise: 14.6883, loss: 29.4694, learning_rate: 0.0300
Step 138 (120 ms) -- loss_pure: 50.6100, loss_model: 9.3085, loss_noise: 41.3016, loss: 56.4879, learning_rate: 0.0300
Step 139 (118 ms) -- loss_pure: 64.7118, loss_model: 9.2335, loss_noise: 55.4783, loss: 70.8079, learning_rate: 0.0300
Step 140 (117 ms) -- loss_pure: 63.7890, loss_model: 9.1302, loss_noise: 54.6588, loss: 70.0938, learning_rate: 0.0300
Step 141 (122 ms) -- loss_pure: 22.7555, loss_model: 8.8524, loss_noise: 13.9031, loss: 29.2619, learning_rate: 0.0300
Step 142 (115 ms) -- loss_pure: 46.7031, loss_model: 9.0035, loss_noise: 37.6996, loss: 53.4045, learning_rate: 0.0300
Step 143 (121 ms) -- loss_pure: 63.8431, loss_model: 8.8932, loss_noise: 54.9499, loss: 70.7313, learning_rate: 0.0300
Step 144 (115 ms) -- loss_pure: 12.1258, loss_model: 9.1338, loss_noise: 2.9920, loss: 19.1915, learning_rate: 0.0300
Step 145 (116 ms) -- loss_pure: 51.7166, loss_model: 9.4110, loss_noise: 42.3056, loss: 58.9499, learning_rate: 0.0300
Step 146 (117 ms) -- loss_pure: 11.4022, loss_model: 9.1608, loss_noise: 2.2414, loss: 18.7931, learning_rate: 0.0300
Step 147 (120 ms) -- loss_pure: 41.7340, loss_model: 9.0944, loss_noise: 32.6396, loss: 49.2724, learning_rate: 0.0300
Step 148 (122 ms) -- loss_pure: 64.4934, loss_model: 8.8388, loss_noise: 55.6545, loss: 72.1691, learning_rate: 0.0300
Step 149 (130 ms) -- loss_pure: 17.2441, loss_model: 9.3589, loss_noise: 7.8852, loss: 25.0497, learning_rate: 0.0300
Step 150 (114 ms) -- loss_pure: 48.2614, loss_model: 8.5433, loss_noise: 39.7181, loss: 56.2047, learning_rate: 0.0300
Step 151 (120 ms) -- loss_pure: 20.3725, loss_model: 8.9288, loss_noise: 11.4437, loss: 28.4694, learning_rate: 0.0300
Step 152 (121 ms) -- loss_pure: 66.4718, loss_model: 9.5342, loss_noise: 56.9376, loss: 74.7313, learning_rate: 0.0300
Step 153 (121 ms) -- loss_pure: 54.8382, loss_model: 8.8152, loss_noise: 46.0229, loss: 63.2639, learning_rate: 0.0300
Step 154 (118 ms) -- loss_pure: 82.1513, loss_model: 8.9169, loss_noise: 73.2344, loss: 90.7429, learning_rate: 0.0300
Step 155 (275 ms) -- loss_pure: 135.6264, loss_model: 9.3483, loss_noise: 126.2781, loss: 144.3805, learning_rate: 0.0300
Step 156 (119 ms) -- loss_pure: 164.3168, loss_model: 9.3821, loss_noise: 154.9348, loss: 173.2279, learning_rate: 0.0300
Step 157 (127 ms) -- loss_pure: 155.4382, loss_model: 9.5596, loss_noise: 145.8785, loss: 164.4993, learning_rate: 0.0300
Step 158 (123 ms) -- loss_pure: 212.4683, loss_model: 9.0498, loss_noise: 203.4185, loss: 221.6716, learning_rate: 0.0300
Step 159 (128 ms) -- loss_pure: 235.1584, loss_model: 9.1963, loss_noise: 225.9621, loss: 244.4954, learning_rate: 0.0300
Step 160 (129 ms) -- loss_pure: 209.4742, loss_model: 8.9806, loss_noise: 200.4936, loss: 218.9363, learning_rate: 0.0300
Step 161 (123 ms) -- loss_pure: 273.7621, loss_model: 9.0805, loss_noise: 264.6816, loss: 283.3409, learning_rate: 0.0300
Step 162 (115 ms) -- loss_pure: 260.8353, loss_model: 8.6645, loss_noise: 252.1707, loss: 270.5224, learning_rate: 0.0300
Step 163 (109 ms) -- loss_pure: 268.3161, loss_model: 9.7814, loss_noise: 258.5347, loss: 278.1034, learning_rate: 0.0300
Step 164 (109 ms) -- loss_pure: 286.3565, loss_model: 8.9920, loss_noise: 277.3645, loss: 296.2363, learning_rate: 0.0300
Step 165 (114 ms) -- loss_pure: 312.1165, loss_model: 9.3541, loss_noise: 302.7624, loss: 322.0814, learning_rate: 0.0300
Step 166 (108 ms) -- loss_pure: 348.7499, loss_model: 9.3325, loss_noise: 339.4174, loss: 358.7931, learning_rate: 0.0300
Step 167 (106 ms) -- loss_pure: 373.6393, loss_model: 9.4178, loss_noise: 364.2215, loss: 383.7541, learning_rate: 0.0300
Step 168 (108 ms) -- loss_pure: 401.6435, loss_model: 9.4282, loss_noise: 392.2153, loss: 411.8239, learning_rate: 0.0300
Step 169 (107 ms) -- loss_pure: 462.9653, loss_model: 9.4433, loss_noise: 453.5219, loss: 473.2054, learning_rate: 0.0300
Step 170 (118 ms) -- loss_pure: 460.9279, loss_model: 9.4088, loss_noise: 451.5191, loss: 471.2224, learning_rate: 0.0300
Step 171 (105 ms) -- loss_pure: 518.9754, loss_model: 9.7002, loss_noise: 509.2752, loss: 529.3195, learning_rate: 0.0300
Step 172 (106 ms) -- loss_pure: 503.7036, loss_model: 9.4283, loss_noise: 494.2753, loss: 514.0927, learning_rate: 0.0300
Step 173 (108 ms) -- loss_pure: 547.3851, loss_model: 9.0915, loss_noise: 538.2936, loss: 557.8152, learning_rate: 0.0300
Step 174 (121 ms) -- loss_pure: 566.1475, loss_model: 9.0110, loss_noise: 557.1365, loss: 576.6146, learning_rate: 0.0300
Step 175 (105 ms) -- loss_pure: 611.3778, loss_model: 9.6282, loss_noise: 601.7496, loss: 621.8785, learning_rate: 0.0300
Step 176 (108 ms) -- loss_pure: 597.7499, loss_model: 8.0065, loss_noise: 589.7434, loss: 608.2812, learning_rate: 0.0300
Step 177 (107 ms) -- loss_pure: 657.8563, loss_model: 9.6529, loss_noise: 648.2034, loss: 668.4154, learning_rate: 0.0300
Step 178 (107 ms) -- loss_pure: 702.9490, loss_model: 8.5455, loss_noise: 694.4035, loss: 713.5333, learning_rate: 0.0300
Step 179 (116 ms) -- loss_pure: 735.8627, loss_model: 8.3816, loss_noise: 727.4811, loss: 746.4698, learning_rate: 0.0300
Step 180 (106 ms) -- loss_pure: 740.0942, loss_model: 8.7866, loss_noise: 731.3076, loss: 750.7219, learning_rate: 0.0300
Step 181 (110 ms) -- loss_pure: 589.9086, loss_model: 8.8062, loss_noise: 581.1024, loss: 600.5550, learning_rate: 0.0300
Step 182 (106 ms) -- loss_pure: 640.4507, loss_model: 8.9804, loss_noise: 631.4703, loss: 651.1142, learning_rate: 0.0300
Step 183 (106 ms) -- loss_pure: 630.5941, loss_model: 8.0637, loss_noise: 622.5304, loss: 641.2732, learning_rate: 0.0300
Step 184 (109 ms) -- loss_pure: 667.3831, loss_model: 9.0753, loss_noise: 658.3078, loss: 678.0768, learning_rate: 0.0300
Step 185 (116 ms) -- loss_pure: 652.9674, loss_model: 8.8071, loss_noise: 644.1603, loss: 663.6750, learning_rate: 0.0300
Step 186 (107 ms) -- loss_pure: 646.1407, loss_model: 9.8223, loss_noise: 636.3184, loss: 656.8616, learning_rate: 0.0300
Step 187 (106 ms) -- loss_pure: 676.3956, loss_model: 9.7685, loss_noise: 666.6271, loss: 687.1289, learning_rate: 0.0300
Step 188 (109 ms) -- loss_pure: 697.7170, loss_model: 9.9147, loss_noise: 687.8024, loss: 708.4622, learning_rate: 0.0300
Step 189 (113 ms) -- loss_pure: 673.7825, loss_model: 8.8306, loss_noise: 664.9519, loss: 684.5388, learning_rate: 0.0300
Step 190 (109 ms) -- loss_pure: 706.4877, loss_model: 8.6524, loss_noise: 697.8353, loss: 717.2546, learning_rate: 0.0300
